,piece_type,captured_piece_type,capture_count
15,♕,♛,113
230,♛,♕,98
294,♝,♗,170
63,♗,♝,166
173,♙,♟,684
367,♟,♙,731
65,♗,♞,243
31,♖,♜,191
311,♞,♘,180
18,♕,♝,114
282,♝,♘,217
94,♘,♞,171
233,♛,♗,103
331,♞,♙,268
264,♜,♖,176
20,♕,♞,109
241,♛,♙,276
115,♘,♟,271
235,♛,♘,92
231,♛,♖,69
107,♘,♝,133
309,♞,♗,127
26,♕,♟,244
70,♗,♟,245
349,♟,♗,146
17,♕,♜,59
300,♝,♙,201
131,♙,♝,121
215,♚,♕,27
279,♝,♖,78
62,♗,♜,62
250,♜,♗,70
106,♘,♜,67
255,♜,♙,204
305,♞,♕,39
51,♖,♞,66
104,♘,♛,44
48,♖,♝,70
38,♖,♟,223
388,♟,♘,143
221,♚,♘,30
216,♚,♖,29
229,♚,♙,82
45,♖,♛,37
218,♚,♗,32
268,♜,♘,56
0,♔,♛,18
4,♔,♝,29
74,♗,♛,32
170,♙,♞,129
262,♜,♕,30
2,♔,♜,29
277,♝,♕,27
13,♔,♟,83
322,♞,♖,43
6,♔,♞,15
411,♟,♕,26
412,♟,♖,23
180,♙,♜,26
128,♙,♛,20
245,♛,♟,2
103,♘,♙,1
410,♟,♟,1
139,♙,♙,1
